City_ID,City,CurrentDescription,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,broken clouds,-33.9258,18.4232,61.21,73,75,1.99
1,Punta Arenas,broken clouds,-53.15,-70.9167,46.51,66,75,21.85
2,Ushuaia,broken clouds,-54.8,-68.3,47.86,49,75,14.97
3,Uglovskoye,few clouds,51.3557,80.1942,43.18,60,17,6.04
4,Constitucion,clear sky,-35.3333,-72.4167,56.8,58,1,15.26
5,Hermanus,clear sky,-34.4187,19.2345,60.8,77,0,15.1
6,Barrow,light snow,71.2906,-156.7887,30.22,74,75,24.16
7,Mataura,few clouds,-46.1927,168.8643,41.49,98,19,3.0
8,Hithadhoo,overcast clouds,-0.6,73.0833,83.28,71,96,2.17
9,Mogadishu,clear sky,2.0371,45.3438,78.24,82,0,18.84
10,Thompson,overcast clouds,55.7435,-97.8558,57.36,88,90,3.44
11,Hilo,light rain,19.7297,-155.09,75.61,84,97,4.0
12,Touros,scattered clouds,-5.1989,-35.4608,86.9,54,32,17.47
13,Rikitea,clear sky,-23.1203,-134.9692,73.47,76,1,11.74
14,Busselton,clear sky,-33.65,115.3333,50.04,79,1,12.17
15,Basavana Bagevadi,overcast clouds,16.5833,75.9667,76.98,76,99,15.21
16,Ponta Do Sol,scattered clouds,32.6667,-17.1,78.12,64,32,4.27
17,Mancora,few clouds,-4.1078,-81.0475,75.78,61,15,10.09
18,Esperance,overcast clouds,-33.8667,121.9,53.44,60,91,11.83
19,Fuxin,moderate rain,42.0156,121.6589,63.97,81,100,1.05
20,Ledyard,scattered clouds,41.4398,-72.0142,75.18,56,41,8.77
21,Berdigestyakh,few clouds,62.0989,126.6992,29.68,84,12,8.43
22,Riyadh,clear sky,24.6877,46.7219,95.14,16,0,9.69
23,Tasiilaq,overcast clouds,65.6145,-37.6368,35.24,71,99,5.12
24,Touho,overcast clouds,-20.7833,165.2333,69.58,64,91,16.33
25,Nicolas Bravo,broken clouds,18.45,-88.9167,89.56,55,70,5.91
26,Jamestown,clear sky,42.097,-79.2353,73.33,57,1,5.01
27,Los Llanos De Aridane,scattered clouds,28.6585,-17.9182,74.95,80,40,12.66
28,Baruun-Urt,overcast clouds,46.6806,113.2792,50.59,87,100,10.4
29,Codrington,broken clouds,-38.2667,141.9667,47.12,79,65,21.05
30,Charters Towers,clear sky,-20.1,146.2667,58.82,90,4,7.31
31,Atuona,light rain,-9.8,-139.0333,77.11,82,42,18.41
32,Kapaa,moderate rain,22.0752,-159.319,73.72,85,90,1.01
33,Laguna,broken clouds,38.421,-121.4238,72.46,69,75,1.99
34,Lebu,clear sky,-37.6167,-73.65,53.55,63,3,14.43
35,Rocky Mount,overcast clouds,35.9382,-77.7905,89.44,48,87,7.36
36,Puerto Ayora,overcast clouds,-0.7393,-90.3518,75.16,91,85,7.0
37,Hobart,moderate rain,-42.8794,147.3294,48.25,67,20,3.0
38,Kongwa,few clouds,-6.2,36.4167,74.26,38,16,7.18
39,Kuusamo,overcast clouds,65.9667,29.1833,41.04,75,90,4.61
40,Xining,overcast clouds,36.6167,101.7667,47.37,80,90,0.78
41,Bredasdorp,clear sky,-34.5322,20.0403,63.72,63,3,13.8
42,Waipawa,light rain,-41.4122,175.5153,52.03,81,97,15.55
43,Divnogorsk,overcast clouds,55.9594,92.3619,46.89,82,100,4.12
44,Namanga,clear sky,-2.5433,36.7905,73.4,26,7,7.34
45,Saldanha,overcast clouds,-33.0117,17.9442,60.85,79,100,8.16
46,Castro,few clouds,-24.7911,-50.0119,87.78,34,14,5.77
47,Bakchar,broken clouds,57.0186,82.0711,38.32,97,79,7.31
48,Diamantino,clear sky,-14.4086,-56.4461,104.97,9,2,5.35
49,Port Lincoln,overcast clouds,-34.7333,135.8667,54.1,55,99,23.49
50,Poplar Bluff,overcast clouds,36.757,-90.3929,80.19,88,90,8.23
51,Alyangula,overcast clouds,-13.8483,136.4192,66.07,94,93,0.0
52,Pantai Remis,overcast clouds,4.4557,100.6288,77.36,92,100,7.18
53,Rumboci,scattered clouds,43.8322,17.5011,70.39,86,36,5.01
54,Severo-Kurilsk,light rain,50.6789,156.125,51.64,96,100,7.96
55,Kaoma,clear sky,-14.7833,24.8,79.54,20,3,6.51
56,Kirakira,overcast clouds,-10.4544,161.9205,78.1,88,100,10.83
57,Bilma,scattered clouds,18.6853,12.9164,95.29,11,45,2.55
58,Bethel,scattered clouds,41.3712,-73.414,74.98,55,32,1.99
59,Idah,light rain,7.1065,6.7342,82.22,80,51,2.93
60,Chuy,overcast clouds,-33.6971,-53.4616,64.62,87,99,11.72
61,Fort Nelson,broken clouds,58.8053,-122.7002,40.59,93,75,2.3
62,Asau,broken clouds,46.4333,26.4,51.4,79,75,2.75
63,Seymchan,overcast clouds,62.8833,152.4333,39.81,90,100,6.6
64,Pochutla,overcast clouds,15.7432,-96.4661,89.82,61,94,5.21
65,Port-Gentil,few clouds,-0.7193,8.7815,82.36,69,20,13.8
66,Torbay,light rain,47.6666,-52.7314,63.37,90,90,10.36
67,Sanchor,scattered clouds,24.7553,71.7722,84.06,78,39,8.12
68,Kushmurun,scattered clouds,52.4503,64.6311,40.3,56,37,8.08
69,Walvis Bay,clear sky,-22.9575,14.5053,63.55,55,0,16.11
70,Chokurdakh,broken clouds,70.6333,147.9167,23.56,87,82,8.12
71,Nanortalik,overcast clouds,60.1432,-45.2371,38.14,89,100,13.51
72,West Plains,overcast clouds,36.7281,-91.8524,76.82,86,90,1.99
73,Escanaba,few clouds,45.7453,-87.0646,76.68,85,20,13.8
74,Najran,scattered clouds,17.4924,44.1277,88.45,13,47,5.57
75,Batagay-Alyta,overcast clouds,67.8006,130.4114,23.99,90,97,4.18
76,Kutum,scattered clouds,14.2,24.6667,83.93,32,47,9.51
77,Dikson,light rain,73.5069,80.5464,35.89,88,95,10.36
78,Okahandja,clear sky,-21.9833,16.9167,84.51,13,1,21.47
79,Nyrob,overcast clouds,60.733,56.7202,36.7,80,100,9.91
80,Galveston,clear sky,29.3669,-94.9669,89.04,78,0,1.01
81,Kampene,light rain,-3.6,26.6667,71.91,88,70,2.35
82,Dampol,overcast clouds,14.8844,120.8119,80.62,85,100,1.34
83,Albany,broken clouds,42.6001,-73.9662,72.68,56,65,1.99
84,Margate,overcast clouds,51.3813,1.3862,67.86,89,95,0.27
85,Wewak,moderate rain,-3.5534,143.6268,78.04,84,100,1.36
86,Saint-Gabriel,few clouds,46.3001,-73.3824,63.84,38,23,3.33
87,Jiangyou,light rain,31.7667,104.7167,68.07,88,22,4.47
88,Udachnyy,broken clouds,66.4167,112.4,28.27,74,60,4.03
89,Monte Alegre,clear sky,-2.0078,-54.0692,95.04,39,8,4.12
90,Srednekolymsk,overcast clouds,67.45,153.6833,27.46,68,100,19.13
91,Pecos,clear sky,31.4229,-103.4932,87.06,44,1,4.61
92,Aklavik,broken clouds,68.2191,-135.0107,40.03,65,75,3.44
93,Naze,few clouds,28.3667,129.4833,74.37,77,13,3.38
94,Aripuana,few clouds,-9.1667,-60.6333,102.02,25,20,3.4
95,Jacareacanga,broken clouds,-6.2222,-57.7528,98.94,31,69,1.92
96,Sibolga,overcast clouds,1.7427,98.7792,74.07,87,100,2.77
97,Georgetown,scattered clouds,5.4112,100.3354,80.89,85,40,3.44
98,Kamaishi,overcast clouds,39.2667,141.8833,63.9,84,100,3.96
